FaultName,FaultID,State,SiteName,SCECId,SliprateId,Longitude,Latitude,DistToCFMFault,CFM7ObjectName,Observation,PrefRate,LowRate,HighRate,RateUnct,RateType,ReptReint,OffsetType,AgeType,NumEvents,RateAge,QbinMin,QbinMax,UCERF3AppB,ShortReferences,Links,FullReferences
Northridge Hills,190,CA,"Aliso Canyon Wash, just south of Lemarsh Street",S-0141,SR-0173,-118.531261000000,34.253449000000,0.09,WTRA-SFNS-SFNV-Northridge_Hills_fault-CFM3,Baldwin and others (2000) assume a 45 degree dip for the reported slip rate.,1.3,0.3,2.3,unknown,projected (dip-slip),reported (author reported rate as recorded in Appendix B),Qt4 surface,soil development,unlisted,1-11,0.2,1,yes,Baldwin et al. (2000),https://doi.org/10.1785/0119990056,"Baldwin, J.N., Kelson, K.I., and Randolph, C.E., 2000, Late Quaternary fold deformation along the Northridge Hills fault, Northridge, California: Deformation coincident with past Northridge Blind Thrust earthquakes and other nearby structures?: Bulletin of the Seismological Society of America, v. 90, no. 3, p. 629-642. https://doi.org/10.1785/0119990056"
North Tahoe,188,CA,per Dingler and others (2009),S-0139,SR-0194,-120.046675955000,39.154815502600,0.07,SNLV-IVPM-NTAH-North_Tahoe-CFM7,Vertical separation rate reported.,N/A,0.35,0.6,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),submerged wave cut terrace,correlation,unlisted,11-130,0.2,1,yes,Dingler et al. (2009),https://doi.org/10.1130/B26244.1,"Dingler, J., Kent, G., Driscoll, N., Seitz, G., Babcock, J., Harding, A., Karlin, B., and Goldman, C., (2009). A high-resolution seismic CHIRP investigation of active normal faulting across the Lake Tahoe basin, California-Nevada: Geological Society of America Bulletin, p. 1089-1107, v. 121, https://doi.org/10.1130/B26244.1"
Oak Ridge (onshore),193,CA,Near Santa Paula,S-0144,SR-0203,-118.987899134000,34.359232698300,0.57,WTRA-ORFZ-MULT-Oak_Ridge_fault-CFM5,"Offset is reported from Yeats (1988), dating constraints (age of the top of Saugus) refined and reported by Levi and Yeats (1993). Unaddressed source of uncertainty is the feature offset, because the Saugus is eroded off of the hanging wall, and the cross-section projects the contact into space.",N/A,4.8,4.9,unknown,projected (dip-slip),reported (only range listed in Appendix B; no preferred value included),stratigraphic horizon,paleomagnetic,unlisted,130-750,1,5,yes,Yeats (1988); Levi and Yeats (1993),https://doi.org/10.1029/JB093iB10p12137; https://doi.org/10.1029/93TC00133,"Yeats, R.S., 1988, Late Quaternary slip rate on the Oak Ridge fault, Transverse Ranges, California; implications for seismic risk: Journal of Geophysical Research, v. 93, p. 12137-12149. https://doi.org/10.1029/JB093iB10p12137; Levi, S., and Yeats, R.S., 1993, Paleomagnetic constraints on the initiation of uplift on the Santa Susana fault, western Transverse Ranges, California: Tectonics, v. 12, p. 688-702. https://doi.org/10.1029/93TC00133"
Oak Ridge (onshore),193,CA,per Huftile and Yeats (1996),S-0142,SR-0199,-118.853805190000,34.382740211900,0.37,WTRA-ORFZ-MULT-Oak_Ridge_fault-CFM5,"Reported dip slip rate assumes 64 - 77 degrees south. Authors note this rate should supersede rate of Yeats (1988), which used a much younger age for the top of Saugus horizon to calculate the slip rate. They report a horizontal shortening of 1.2 - 1.5 km",3.8,3.4,4.2,unknown,projected (dip-slip),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),stratigraphic horizon,correlation,unlisted,130-750,1,5,yes,Huftile and Yeats (1996),https://doi.org/10.1785/BSSA08601B00S3,"Huftile, G. J., and Yeats, R.S., 1996, Deformation rates across the Placerita (Northridge Mw=6.7 aftershock zone) and Hopper Canyon segments of the western Transverse Ranges deformation belt: Bulletin of the Seismological Society of America, v. 86, p. S3-S18. https://doi.org/10.1785/BSSA08601B00S3"
Oak Ridge (onshore),193,CA,per Huftile and Yeats (1996),S-0143,SR-0200,-118.853805190000,34.382740211900,0.37,WTRA-ORFZ-MULT-Oak_Ridge_fault-CFM5,Longer term rate based on reconstruction of the base of Fernando Formation in cross section.,4.1,3.7,4.5,unknown,projected (dip-slip),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),stratigraphic horizon,correlation,unlisted,750-2600,1,5,yes,Huftile and Yeats (1996),https://doi.org/10.1785/BSSA08601B00S3,"Huftile, G. J., and Yeats, R.S., 1996, Deformation rates across the Placerita (Northridge Mw=6.7 aftershock zone) and Hopper Canyon segments of the western Transverse Ranges deformation belt: Bulletin of the Seismological Society of America, v. 86, p. S3-S18. https://doi.org/10.1785/BSSA08601B00S3"
Olinghouse,1195,NV,B&W levee,S-0264,SR-0754,-119.430540905000,39.615458634500,39.76,N/A,offset of 2.75-3m debris flow levee/channel system near central-southern section boundary likely ocurred in the PE (2 events since 19.8 +/- 0.6 ka with 5.5-6 m total offset),0.29,0.27,0.31,unknown,projected (strike-slip),reinterpreted (low = 5.5m/20.4ka; high = 6m/19.2 ka; pref = 5.75m/19.8 ka (average d)),offset paired debris flow levee and channel,radiocarbon,2,19.8 +/-0.6,0,0.2,no,Briggs and Wesnousky (2005),https://doi.org/10.1785/0120040129,"Briggs, R. W., & Wesnousky, S. G. (2005). Late Pleistocene and Holocene paleoearthquake activity of the Olinghouse fault zone, Nevada. Bulletin of the Seismological Society of America, 95(4), 1301-1313. https://doi.org/10.1785/0120040129"
Ortigalita (north),197,CA,Cottonwood Arm,S-0145,SR-0205,-121.136656479000,37.105852757100,28.13,N/A,"Anderson and Piety (2001) report two offset features at the Cottonwood Arm site. A buried channel thalweg is offset 15.6 +/- 2m and is estimated to be between 10 - 25 ka in age, but likely closer to 10 ka. A facies change in a slightly older mudflow is offset 21 +/- 4 meters and is also believed to be 10 - 25 ka in age. From these offset features, they report 10 - 25 meters of right lateral offset during the past 10 - 25 ka, for of slip rate of 0.5 - 2.5 mm/yr (1 - 2 preferred).",N/A,0.5,2.5,unknown,horizontal,reported (only range listed in Appendix B; range of preferred values included),"channel thalweg, facies change in mudflow",soil development,unlisted,11-130,1,5,yes,Anderson and Piety (2001),N/A,"Anderson, L.W., and Piety, L.A., 2001, Geologic seismic source characterization of the San Luis-O'Neill Forebay Dams, San Luis Unit, Central Valley Project, California: U.S. Bureau of Reclamation Report 2001, 76 p., appendixes A-C."
Owens Valley,199,CA,Crater Mountain,S-0147,SR-0207,-118.290221713000,37.145398610600,0.17,SNFA-OVFZ-MULT-Owens_Valley_fault-CFM6,"36Cl dating of Crater Mountain Basalt provide dating constraints. Air photos and GPR provide a well-constrained feature offset (edge of basalt flow). This rate probably reflect a reasonable long term average. Authors note rate is 2 - 3 times greater than Holocene rates of Bacon and Pezzopane (2007) (However, that rate may only be two intervals, so may be too short). Note: Slip rates reported by Lee and others (2001); Bacon and Pezzopane (2007) and older studies derive slip rates from assumptions of characteristic slip and uniform recurrence (also noted as an issue by Kirby and others (2008)), thus these rates are not reported in this compilation.",N/A,2.8,4.5,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),basalt flow edge,36Cl,unlisted,11-130,1,5,yes,Kirby et al. (2008),https://doi.org/10.1029/2007GL031970,"Kirby,E., Anadakrishnan, S., Phillips, F., and Marrero, S., 2008, Late Pleistocene slip rate along the Owens Valley fault, eastern California: Geophysical Research Letters, v. 35, no. L01304, https://doi.org/10.1029/2007GL031970"
Owens Valley,199,CA,Fish Springs Cinder Cone,S-0146,SR-0206,-118.262506570000,37.081939271200,0.27,SNFA-OVFZ-MULT-Owens_Valley_fault-CFM6,"Associated with Owens Valley fault, vertical only. Similar rate to Martel and others (1987), except newer cosmogenic dating provide better constraints. Other work on fans at this site show similar vertical slip rates for Late Pleistocene (<136 k.y.) See Zehfuss and others (2001) Table 4.",0.24,0.2,0.28,unknown,unprojected (vertical),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,Ar - Ar,unlisted,130-750,1,5,yes,Zehfuss et al. (2001),https://doi.org/10.1130/0016-7606(2001)113%3C0241:SROTFS%3E2.0.CO;2,"Zehfuss, P.H., Bierman, P.R., Gillespie, A.R., Burke, R.M., Caffee, M.W., 2001, Slip rates on the Fish Springs fault, Owens Valley, California, deduced from cosmogenic 10Be and 26Al and soil development on fan surfaces: Geological Society of America Bulletin, v. 113, no. 2, p. 241-255. https://doi.org/10.1130/0016-7606(2001)113%3C0241:SROTFS%3E2.0.CO;2"
Owl Lake,201,CA,70-1,S-0148,SR-0208,-116.869178564000,35.610547014000,0.14,GRFS-GRFZ-EAST-Owl_Lake_fault-CFM5,Poorly-constrained offset terrace riser. Dating is based on 14C of rock varnish. Vertical slip rate is reported as 0.06 - 9 mm/yr. Part of Garlock fault zone.,0.5,0.5,7.8,unknown,horizontal,"reported (authors report min and max here; given the very high maximum rate, the preferred value is selecte at the minimum value of the reported range).",offset fan,14C from rock varnish,unlisted,11-130,1,5,yes,McGill (1998),N/A,"McGill, S.F., 1999, Slip-rate studies of the Garlock and Owl Lake faults: U.S. Geological Survey National Earthquake Hazards Reduction Program, Annual Summaries v. 40, Contract no. 1434-92-G-2210, 6 p."
Palos Verdes,203,CA,Los Angeles Harbor,S-0150,SR-0210,-118.247758266000,33.730771244400,0.49,OCBA-PVFZ-MULT-Palos_Verdes_fault-CFM6,Rate consistent with longer term rate of 2.5 - 3.8 mm/yr for 300 m deflected channel over past 80 - 120 ka as reported by Stephenson and others (1995). Longer term (post Pico 1.5 Ma) strike slip rate of 3.3 +/- 0.3 mm/yr (4.0 +/- 0.3 oblique-reverse) reported by Brankman and Shaw (2009). Location is difficult to pin down for this slip rate.,N/A,2.7,3,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),paleochannels (6 piercing lines),unlisted,unlisted,1-11,1,5,yes,McNeilan et al. (1996),https://doi.org/10.1029/95JB02251,"McNeilan, T.W., Rockwell, T.K., and Resnick, G.S., 1996, Style and rate of Holocene slip, Palos Verdes fault, southern California: Journal of Geophysical Research, v. 101, no. B4, p. 8317-8334. https://doi.org/10.1029/95JB02251"
Palos Verdes,203,CA,per Brankman and Shaw (2009),S-0151,SR-0211,-118.123910021000,33.551922514200,1.03,OCBA-PVFZ-MULT-Palos_Verdes_fault-CFM6,"Feature is an offset depositional basin offset by the Palos Verdes fault, imaged in seismic lines. Offset is measured using contours from an isopach map. Long term offset is consistent with other reported rates. Brankman and Shaw (2009) summarize other rates which are either poorly constrained (e.g. Rigor (2003), or based on numerical modeling (Ward and Valensise (1994)), but generally consistent with their reported rates.",4,3.7,4.3,unknown,net (reverse + RL),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),"offset depositional basin, isopach contours","Onset of deformation, top of Pico Fm",unlisted,unlisted,1,5,yes,Brankman and Shaw (2009),https://doi.org/10.1785/0120080303,"Brankman, C., and Shaw, J.H., (2009). Structural geometry and slip of the Palos Verdes Fault, southern California-Implications for earthquake hazards: Bulletin of the Seismological Society of America, v. 99, p. 1730-1745. https://doi.org/10.1785/0120080303"
Palos Verdes,203,CA,per Stephenson,S-0149,SR-0033,-118.301912489000,33.772544943600,0.85,OCBA-PVFZ-MULT-Palos_Verdes_fault-CFM6,"Offset of paleo Los Angeles River channel. This may be a minimum rate, because the incision of the channel post-dates the age of the terrace.",3,2.5,3.8,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),paleo LA River channel,Correlation to dated marine terraces,unlisted,11-130,1,5,yes,Stephenson et al. (1995),https://doi.org/10.1785/BSSA0850030943,"Stephenson, W.J., Rockwell, T.K., Odum, J.K., Shedlock, K.M., and Okaya, D.A., 1995, Seismic reflection and geomorphic characterization of the onshore Palos Verdes fault zone, Los Angeles, California: Bulletin of the Seismological Society of America, v. 85, p. 943-950. https://doi.org/10.1785/BSSA0850030943"
Palos Verdes,203,CA,San Gabriel Canyon,S-0152,SR-1250,-118.043378028845,33.423334340818,0.2,OCBA-PVFZ-MULT-Palos_Verdes_fault-CFM6,three offsets of slump headwall dated with radiocarbon,1.75,1.3,2.8,unknown,projected (lateral),reported,headwall scarp,radiocarbon,unknown,31,1,5,no,"Brothers et al., (2015)",https://doi.org/10.1002/2015JB011938,"Brothers, D. S., Conrad, J. E., Maier, K. L., Paull, C. K., McGann, M., & Caress, D. W. (2015). The Palos Verdes Fault offshore Southern California: Late Pleistocene to present tectonic geomorphology, seascape evolution, and slip rate estimate based on AUV and ROV surveys. Journal of Geophysical Research: Solid Earth, 120(7), 4734-4758. https://doi.org/10.1002/2015JB011938"
Panamint Valley,204,CA,Goler Wash,S-0154,SR-0213,-117.165280544000,35.854619739800,0.42,SNFA-PMVZ-MULT-Panamint_Valley_fault-CFM2,Minimum rate reported by Zhang and others (1990). Note that they think this site (Goler Wash) is better constrained. Hoffman (2009) supersedes older rate of Zhang and others (1990).,2.36,1.57,3.15,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B; report rated as a maximum rate),offset fan edge,Correlation to Lake Panamint highstand,unlisted,11-130,1,5,yes,Zhang et al. (1990),https://doi.org/10.1029/JB095iB04p04857,"Zhang, P.,Ellis, M., Slemmons, D.B., and Mao, F., 1990, Right lateral displacements and the Holocene slip rate associated with prehistoric earthquakes along the southern Panamint Valley Fault Zone: Journal of Geophysical Research, v. 95, no. 84, p. 4857-4872. https://doi.org/10.1029/JB095iB04p04857"
Panamint Valley,204,CA,Happy Canyon,S-0155,SR-0214,-117.207545682000,36.055475973000,0.68,SNFA-PMVZ-MULT-Panamint_Valley_fault-CFM2,Minimum soil age is reported as 20.7 +/- 5.2 ka. Right lateral rate is based on total extension of 56 +/- 10.3 m. Site has both lateral and vertical rates reported.,2.7,1.2,4.2,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset of Q3o fan surface,10Be and soil chronology,unlisted,11-130,1,5,yes,Hoffman (2009),N/A,"Hoffman, W. R. (2009). Late Pleistocene Slip Rates Along the Panamint Valley Fault Zone. Eastern California (Master's thesis). Pennsylvania State University, Pennsylvania."
Panamint Valley,204,CA,Happy Canyon,S-0156,SR-0215,-117.207545682000,36.055475973000,0.68,SNFA-PMVZ-MULT-Panamint_Valley_fault-CFM2,Right lateral slip rate is based on total extension of 56 +/-10.3 m. Site has both lateral and vertical rates reported.,3.3,2.6,4,unknown,unprojected (vertical),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset of Q3o fan surface,10Be and soil chronology,unlisted,11-130,1,5,yes,Hoffman (2009),N/A,"Hoffman, W. R. (2009). Late Pleistocene Slip Rates Along the Panamint Valley Fault Zone. Eastern California (Master's thesis). Pennsylvania State University, Pennsylvania."
Panamint Valley,204,CA,Manly Peak Canyon,S-0153,SR-0212,-117.179635929000,35.907299153500,0.78,SNFA-PMVZ-MULT-Panamint_Valley_fault-CFM2,"Slip rate reported is rate in a direction oriented towards 325deg. Maximum surface age is reported as 12.5 +/- 1.4 ka. Minimum rate reported by Zhang and others (1990). Note that they did not prefer the rate at this site, and think the rate at Goler Wash is better constrained.",2.1,1.6,2.5,unknown,net,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset debris flows,10Be and soil chronology,unlisted,11-130,1,5,yes,Hoffman (2009),N/A,"Hoffman, W. R. (2009). Late Pleistocene Slip Rates Along the Panamint Valley Fault Zone. Eastern California (Master's thesis). Pennsylvania State University, Pennsylvania."
Petersen Mountain (east),1092,NV,Profile 1,S-0243,SR-0523,-119.941529276000,39.783313758400,13.94,N/A,2.8 +/- 0.2 m vertical separation of late middle to late Pleistocene alluvial fan estimated to be 50-175 ka,0.025,0.01,0.06,unknown,unprojected (vertical),reported (pref = 2.8 m/112.5 ka (pref m/average ka)),vertical separation of alluvial fan,relative/regional age correlation,unlisted,50-175,0,0.2,no,Koehler (2019),https://doi.org/10.1016/j.geomorph.2018.09.015,"Koehler, R. D. (2019). Active faulting in the North Valleys region of Reno, Nevada: A distributed zone within the northern Walker Lane. Geomorphology, 326, 38-53. https://doi.org/10.1016/j.geomorph.2018.09.015"
Pinto Mountain,209,CA,per Petersen and Wesnousky,S-0157,SR-0113,-116.300485259000,34.142837387800,0.07,ETRA-PMFZ-MULT-Pinto_Mountain_fault-CFM5,"Anderson (1979) reported a long term, Miocene, slip rate of 1 - 2 mm/yr. Petersen and Wesnousky (1994) report 0.3 - 5.3, based on a 9.6 km fanglomerate offset, reported by Dibblee (1968), assuming this offset is Pleistocene and younger. A review of geologic mapping by Dibblee (1967a, b; Dibblee (1968) shows that the interpretation of the 9.6 km offset is problematic, as there are no well-defined piercing lines, or correlative deposits. The deposits (located south of the fault) are also moderately dipping (~20 degrees) and given the proximity to the fault, it is possible the unit Dibblee mapped is an offset fold. In summary, this offset is probably too poorly constrained and documented to be considered useful for deriving a Quaternary slip rate. ",N/A,0.3,5.3,unknown,horizontal,"reported (only range reported/no uncertainty. Though, this rate seems poorly constrained)",Miocene bedrock and Pleistocene fanglomerate,relative,unlisted,>2600,1,5,yes,Anderson (1979); Petersen and Wesnousky (1994),https://doi.org/10.1785/BSSA0690010135; https://doi.org/10.1785/BSSA0840051608,"Anderson, J.G., 1979,Estimating the seismicity from geological structure for seismic-risk studies: Bulletin of the Seismological Society of America, v. 69, no. 1, p. 135-158. https://doi.org/10.1785/BSSA0690010135; Petersen, M.D., and Wesnousky, S.G., 1994, Fault slip rates and earthquake histories for active faults in Southern California: Bulletin of the Seismological Society of America, v. 84, p. 1608-1649. https://doi.org/10.1785/BSSA0840051608"
Pisgah - Bullion Mountain - Mesquite Lake,210,CA,per Oskin and others (2008),S-0158,SR-0219,-116.394361086000,34.672004233500,0.06,MJVA-PBMZ-MULT-Pisgah_Bullion_West_Bullion_fault-CFM5,Oskin and others (2008) used Ar-Ar dating techniques on an offset pyroclastic deposit identified by Hart and others (1988).,1,0.8,1.2,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),Offset basalt flow,Ar-Ar,unlisted,750-2600,0.2,1,yes,Oskin et al. (2008),https://doi.org/10.1130/G24814A.1,"Oskin, M, Perg, L., Shelef,E., Strane, M., Gurney, E., Singer, B., and Zhang, X., 2008, Elevated shear zone loading rate during an earthquake cluster in eastern California: Geology, v. 36, no. 6; p. 507-510, https://doi.org/10.1130/G24814A.1 "
Pitas Point,333,CA,Pitas Point,S-0159,SR-0306,-119.307580071000,34.283451313800,0.22,WTRA-NCVS-VNTB-Ventura_fault-CFM6,320 m of uplifted marine terraces since 45-50 ka (Lajoie et al 1979); 4 events since c. 6.7 ka,6.7,6,7,unknown,unprojected (vertical),reported range; pref = 340m/47.5 ka (average age),marine teraces,relative,multiple,45-50,0.2,1,no,"Rockwell et al., (2016)",https://doi.org/10.1785/0120150378 ,"Rockwell, T. K., et al. (2016). Large Transverse Ranges earthquakes cause coastal upheaval near Ventura, southern California. Bulletin of the Seismological Society of America 106(6). https://doi.org/10.1785/0120150378 "
Pleito,215,CA,Kink Canyon,S-0161,SR-0222,-118.949587548000,34.931693605700,0.12,GVFA-PLFZ-MULT-Pleito_fault-CFM2,"Based on the small cumulative offset, this rate may only represent 2 events. Hall (1984) notes that the rates may be a minimum if slip is shared with the Wheeler Ridge fault.",N/A,1.3,1.4,unknown,unprojected (vertical),reported (only range reported/no uncertainty),fan surface,C14,~2?,1-11,1,5,yes,Hall (1984),N/A,"Hall, N. T., 1984, Late Quaternary history of the eastern Pleito thrust fault, northern Transverse Ranges, California: Palo Alto, Calif., Stanford University, Ph.D. dissertation, 89 p., 16 plates, scale 1:6,000."
Pleito,215,CA,Tecuya fan,S-0160,SR-0221,-118.956693538000,34.932942544200,0.24,GVFA-PLFZ-MULT-Pleito_fault-CFM2,Hall (1984) calculates the slip rate using both total vertical separation and intervals between depositional units. Reported slip rates reflect these ranges. Hall (1984) notes that the rates may be a minimum if slip is shared with the Wheeler Ridge fault.,0.6,0.3,2,unknown,unprojected (vertical),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),buried paleosol,correlation,unlisted,11-130,1,5,yes,Hall (1984),N/A,"Hall, N. T., 1984, Late Quaternary history of the eastern Pleito thrust fault, northern Transverse Ranges, California: Palo Alto, Calif., Stanford University, Ph.D. dissertation, 89 p., 16 plates, scale 1:6,000."
Polaris,218,CA,Truckee River,S-0162,SR-0224,-120.138521509000,39.338379840200,0.32,SNLV-PLWT-TRCK-Polaris-CFM7,"Rate for main strand. Other possible strands in region. Unknown how many events produced this offset, perhaps only one or two?",0.4,0.1,0.9,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),terrace riser,correlation,1 - 2?,11-130,0.2,1,yes,Hunter et al. (2011),https://doi.org/10.1785/0120090261,"Hunter, L.E., Howle, J.F., Rose, R.S., Bawden, G.W., 2011, LiDAR-assisted identification of an active fault near Truckee, California: Bulletin of the Seismological Society of America, v. 101, no. 3, p. 1162-1181. https://doi.org/10.1785/0120090261"
Puente Hills (Coyote Hills),219,CA,per Christofferson and others (2001),S-0163,SR-0063,-118.017806113000,33.886559543700,0.36,WTRA-PHTS-COYT-Puente_Hills_Thrust_fault-CFM2,"Offset and dating are poorly-constrained. The reported slip rate assumes a 19 - 22 degree dip and simple hanging wall block translation. Shaw and others (2002) don't report offsets, but these are estimated from their estimates of structural relief shown on their Figure 11.",N/A,0.2,1,unknown,projected (dip-slip),reported (only range reported/no uncertainty),offset surface,soil,unlisted,11-130,0.2,1,yes,Christofferson et al. (2001),N/A,"Christofferson, S.A., Dolan, J.F., Shaw, J.H., and Pratt, T.L., 2001, Determination of a Holocene slip rate on the Puente Hills blind-thrust fault, Los Angeles basin, California [abs]: Eos (American Geophysical Union Transactions), Fall meeting supplement, v. 82, p. F933."
Puente Hills (Coyote Hills),219,CA,per Shaw and others (2002),S-0164,SR-0065,-117.939859253000,33.872557473100,1.28,WTRA-PHTS-COYT-Puente_Hills_Thrust_fault-CFM2,"Slip rates derived from structural relief and kink-band width estimates. Shaw and others (2002) don't report offsets, but these are estimated from their estimates of structural relief shown on their Figure 11.",1.28,0.2,1.7,unknown,projected (dip-slip),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),fold estimate,correlation,unlisted,750-2600,0.2,1,no,Shaw et al. (2002),https://doi.org/10.1785/0120010291,"Shaw J.H., Plesch, A., Dolan, J.F., Pratt, T.L., and Fiore, P., 2002, Puente Hills blind-thrust system, Los Angeles, California: Bulletin of the Seismological Society of America, v. 92, no. 8, p. 2946-2960. https://doi.org/10.1785/0120010291"
Puente Hills (Los Angeles),220,CA,per Shaw and others (2002),S-0167,SR-0227,-118.240179945000,33.979952092400,0.24,WTRA-PHTS-LABS-Puente_Hills_Thrust_fault-CFM1,"Slip rates derived from structural relief and kink-band width estimates. Shaw and others (2002) don't report offsets, but these are estimated from their estimates of structural relief shown on their Figure 11.",0.85,0.3,1.13,unknown,projected (dip-slip),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),fold estimate,correlation,unlisted,750-2600,0.2,1,no,Shaw et al. (2002),https://doi.org/10.1785/0120010291,"Shaw J.H., Plesch, A., Dolan, J.F., Pratt, T.L., and Fiore, P., 2002, Puente Hills blind-thrust system, Los Angeles, California: Bulletin of the Seismological Society of America, v. 92, no. 8, p. 2946-2960. https://doi.org/10.1785/0120010291"
Puente Hills (Los Angeles),220,CA,Stanford Ave,S-0166,SR-0226,-118.247768072000,33.984175391600,0.22,WTRA-PHTS-LABS-Puente_Hills_Thrust_fault-CFM1,"Based on cumulative uplift, thickening of section from borehole data across backlimb of Compton thrust. Assumed fault dip is 28 +/- 3 degrees. Rate is reported as a minimum.",1.2,0.9,1.7,unknown,projected (dip-slip),reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),"Unit 60, growth section",C14,6,1-15,0.2,1,yes,Leon et al. (2009),https://doi.org/10.1029/2008JB006129,"Leon, L. A., Dolan, J. F., Shaw, J. H., and Pratt, T. L. (2009),Evidence for large Holocene earthquakes on the Compton thrust fault, Los Angeles, California, J. Geophys. Res., 114, B12305, https://doi.org/10.1029/2008JB006129"
Puente Hills (Los Angeles),220,CA,W 48th St,S-0165,SR-0225,-118.288832703000,34.007015240000,0.09,WTRA-PHTS-LABS-Puente_Hills_Thrust_fault-CFM1,"seismic reflection studies, retrodeformed cross sections andborehole samples requires a total of backslip of 17.75-22.72 m 22.72 since 17.6 -11.7 ka",N/A,1.13,1.73,95% CI (author reported),projected (dip-slip),reported,backslip,radiocarbon + IRSL,multiple,17.6-11.7,0.2,1,no,"Bergen et al., (2017) Geology",https://doi.org/10.1130/G38520.1,"Kristian J. Bergen, John H. Shaw, Lorraine A. Leon, James F. Dolan, Thomas L. Pratt, Daniel J. Ponti,Eric Morrow, Wendy Barrera, Edward J. Rhodes, Madhav K. Murari, Lewis A. Owen; Accelerating slip rates on the Puente Hills blind thrust fault system beneath metropolitan Los Angeles, California, USA. Geology 2017;; 45 (3): 227-230. https://doi.org/10.1130/G38520.1 "
Puente Hills (Santa Fe Springs),221,CA,per Dolan and others (2003),S-0169,SR-0228,-118.110282316000,33.911161704500,0.35,WTRA-PHTS-STFS-Puente_Hills_Thrust_fault-CFM2,"Growth strata logged in boreholes provide uplift per event and a Holocene slip rate. The model assumes rigid block motion, so the slip rate is regarded by the authors as a minimum.",1.6,1.1,5,unknown,projected (dip-slip),"reported (authors list a range of minimum rates, so minimum of this range is listed as LowRate, and upper bound of this is listed as PrefRate)",growth strata,C14,unlisted,1-11,1,5,yes,Dolan et al. (2003),https://doi.org/10.1126/science.1080593,"Dolan, J.F., Christofferson, S.A., Shaw, J.H., (2003). Recognition of paleoearthquakes on the Puente Hills blind thrust fault, Los Angeles, California: Science, v. 300, p. 115-118. https://doi.org/10.1126/science.1080593"
Puente Hills (Santa Fe Springs),221,CA,per Shaw and others (2002),S-0168,SR-0064,-118.081158057000,33.915375187000,0.23,WTRA-PHTS-STFS-Puente_Hills_Thrust_fault-CFM2,"Slip rates derived from structural relief and kink-band width estimates. Shaw and others (2002) don't report offsets, but these are estimated from their estimates of structural relief shown on their Figure 11.",0.62,0.2,1,unknown,projected (dip-slip),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),fold estimate,correlation,unlisted,750-2600,0.2,1,no,Shaw et al. (2002),https://doi.org/10.1785/0120010291,"Shaw J.H., Plesch, A., Dolan, J.F., Pratt, T.L., and Fiore, P., 2002, Puente Hills blind-thrust system, Los Angeles, California: Bulletin of the Seismological Society of America, v. 92, no. 8, p. 2946-2960. https://doi.org/10.1785/0120010291"
Pyramid Lake,1094,NV,Site 3,S-0245,SR-0531,-119.403215871000,39.814761087800,44.15,N/A,"ridge crest offset 15 +/- 10 m since 10.8-15.5 ka; reported min rate = 1.0 +/- 0.6 mm/yr, reported max rate = 1.4 +/- 0.9 mm/yr",1.14,0.4,2.3,unknown,projected (lateral),reinterpreted (low = minimum of reported minimun rate; high = maximum of reported maxmimum rate; pref = 15m/13.15 ka (average of ages)),displaced ridge crest,regional Lake Lahontan shorelines,unknown,10.8 - 15.5,1,5,no,"Angster et al., (2016)",https://doi.org/10.1785/0120150144 ,"Stephen Angster, Steven Wesnousky, Wei?liang Huang, Graham Kent, Takashi Nakata, Hideaki Goto, (2016). Application of UAV Photography to Refining the Slip Rate on the Pyramid Lake Fault Zone, Nevada. Bulletin of the Seismological Society of America, 106 (2): 785-798. doi: https://doi.org/10.1785/0120150144 "
