Fault Name,NSHM23 Fault ID,State,Site Name,CPD ID,NSHM23 Slip Rate ID,Longitude,Latitude,Distance To Nearest CFM Fault (km),CFM6.0 Object Name,Data Type,Observation,Preferred Rate,Low Rate,High Rate,Rate Uncertainty,Rate Type,ReptReint,Offset Type,Age Type,Num Events,Rate Age,Qbin Min,Qbin Max,References,UCERF3 AppB
Maacama,155,CA,Haehl Creek (Channel B),S-0118,SR-0152,-123.340253261000,39.389860363100,387.39,N/A,slip rate study,"Because geologic rate is greater than historic creep rate, authors attribute this to a combination of creep and ruptures.",N/A,8,35,unknown,horizontal,"reported (rate listed as a minimum rate, so only applied to LowRate)",buried channel,C14,unlisted,1-11,5,35,Larson and others (2005),yes
Mad River,157,CA,per McCrory (2000),S-0119,SR-0069,-124.115013453000,40.937703850100,572.11,N/A,slip rate study,,0.4,0.2,1,unknown,unprojected (vertical),reported (only preferred value listed in Appendix B no uncertainty included),marine terrace,correlation,unlisted,11-130,1,5,"McCrory (1996, 2000)",yes
Mad River,157,CA,per McCrory (2000),S-0120,SR-0071,-124.030646650000,40.866394596500,562.05,N/A,slip rate study,,0.3,0.2,1,unknown,unprojected (vertical),reported (only preferred value listed in Appendix B no uncertainty included),stratigraphic marker,correlation,unlisted,750-2600,1,5,"McCrory (1996, 2000)",yes
Malibu Coast,160,CA,Corral Canyon,S-0121,SR-0155,-118.728403188000,34.032314229600,0.2,WTRA-SFFS-SMMT-Malibu_Coast_fault_east-CFM6,slip rate study,Vertical component only (no lateral reported).  Marine terrace correlation may need to be updated.,0.3,0.2,1,unknown,unprojected (vertical),reported (only preferred value listed in Appendix B no uncertainty included),marine terrace,"paleo, amino acids, correlation",unlisted,130-750,0.2,1,Clarke and others (1984),yes
Malibu Coast,160,CA,"per Treiman (1994), location approximate",S-0122,SR-0156,-118.764681173000,34.032676587500,0.25,WTRA-SFFS-SMMT-Malibu_Coast_fault_east-CFM6,slip rate study,"Left lateral deflections extending from Ramirez to Puerco Canyons.  Treiman (1994) notes this rate appears faster than late Pleistocene - Holocene rate.  Dating constraints are poor, and not clear how the reported slip rate was calculated.",N/A,1,2,unknown,unprojected (vertical),reported (only range listed in Appendix B no preferred value included),stream deflections,correlation,unlisted,11-130,0.2,1,Treiman (1994),yes
Malibu Coast,160,CA,Marie Canyon,S-0123,SR-0157,-118.706798110000,34.035268138200,0.05,WTRA-SFFS-SMMT-Malibu_Coast_fault_east-CFM6,slip rate study,Vertical component only (no lateral reported).  Marine terrace correlation may need to be updated.,N/A,0.02,0.03,unknown,unprojected (vertical),reported (only range listed in Appendix B no preferred value included),marine terrace,correlation,unlisted,130-750,0.2,1,Clarke and others (1984),yes
Malibu Coast,160,CA,"per Treiman (1994), location approximate",S-0124,SR-0159,-118.860925611000,34.039264834900,0.13,WTRA-SFFS-SMMT-Malibu_Coast_fault_east-CFM6,slip rate study,"Left lateral deflections are somewhat controversial and not consistent, as some major drainages are deflected and others not, and some may be related to lithologic controls.  Treiman (1994) was unable to identify deflections in younger (late Pleistocene",0.5,0.2,0.8,unknown,horizontal,"reported (authors list a range of values as a maximum value, therefore max of that range = HighRate and min of that range = PrefRate, with LowRate unconstrained)",stream deflections,correlation,unlisted,130-750,0.2,1,Treiman (1994),yes
Mayfield,325,CA,per Sawyer and Page (1995),S-0125,SR-0103,-121.551122067000,41.341527340200,534,N/A,slip rate study,Measured along a 4 km long profile across Yellow Jacket basalt flow.,N/A,0.2,0.43,0.58,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset basalt flow,Ar-Ar,unlisted,130-750,0.2,1,Sawyer and Page (1995),yes
McKinleyville,163,CA,"per Carver and Burke, calculated by McCrory (2000).",S-0126,SR-0153,-124.010960811000,40.870171470400,561.82,N/A,slip rate study,"Reported rate (0.6 +/- 0.1 mm/yr) is net slip, assuming 27 degree dip (McCrory, 2000).",0.6,0.5,0.7,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),cobble horizon,radiocarbon,1 - 2?,11-130,0,0.2,McCrory (2000),yes
McKinleyville,163,CA,"per Kelsey and Carver (1988), calculated by McCrory (2000).",S-0127,SR-0161,-124.089176439000,40.959923664100,573.58,N/A,slip rate study,"Reported rate (0.5 +/- 0.1  mm/yr) is net slip, assuming 35 degree dip (McCrory, 2000).",0.5,0.4,0.6,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),stratigraphic marker,assumed timing of deformation,unlisted,750-2600,0,0.2,McCrory (2000),yes
McKinleyville,163,CA,"per Carver and others (1986), calculated by McCrory (2000).",S-0128,SR-0162,-124.107379868000,40.979347474000,576.16,N/A,slip rate study,"Reported rate (0.8 mm/yr) is net slip, assuming 25 degree dip (McCrory, 2000).",N/A,0.7,0.8,unknown,projected (dip-slip),reported (only range listed in Appendix B; no preferred value included),marine terrace,correlation,unlisted,11-130,0,0.2,McCrory (2000),yes
"Mill Creek (San Andreas, north branch)",166,CA,City Creek,S-0129,SR-0166,-117.191028280000,34.143781189400,0.37,SAFS-SAFZ-SBMT-Mill_Creek_fault_strand-CFM4,slip rate study,Poorly constrained age based on assumed fan age from San Andreas fault slip rate. Not entirely clear how the reported slip rate was calculated.,2.1,1.6,2.6,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B;pref value comes from Appendix B comment field),alluvial fan,inferred fan age,unlisted,11-130,0.2,1,Sieh and others (1994),yes
Mission Ridge - Arroyo Parida - Santa Ana,170,CA,Ellwood Beach,S-0130,SR-0174,-119.897690000000,34.429810000000,0.65,WTRA-MRFS-MULT-Mission_Ridge_Arroyo_Parida_fault-CFM5,slip rate study,Uplift rate.  Unknown dating methods.  Site location approximate.,0.3,0.2,1,unknown,unprojected (vertical),reported (only preferred value listed in Appendix B no uncertainty included),unlisted,unlisted,unlisted,11-130,0.2,1,Gurrola and Keller (2003),yes
Mission Ridge - Arroyo Parida - Santa Ana,170,CA,Ventura River faults/folds,S-0131,SR-0175,-119.300122729000,34.428472247900,0.55,WTRA-MRFS-MULT-Mission_Ridge_Arroyo_Parida_fault-CFM5,slip rate study,"Reported geologic rate is a sum of vertical slip rates across fault and folds in Oak View area, per Rockwell and others (1984) Table 3.  Summed rate includes Arroyo Parida - Santa Ana, Villanova, and La Vista faults.  Rockwell (1984) notes that some of t",1,0.4,1.6,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),stream terraces,"C14, soils",unlisted,11-130,0.2,1,Rockwell and others (1984),yes
Mission Ridge - Arroyo Parida - Santa Ana,170,CA,Ventura River faults/folds,S-0132,SR-0176,-119.300122729000,34.428472247900,0.55,WTRA-MRFS-MULT-Mission_Ridge_Arroyo_Parida_fault-CFM5,slip rate study,"Reported geologic rate is a sum of vertical slip rates across fault and folds in Oak View area, per Rockwell and others (1984) Table 3.  Summed rate includes Arroyo Parida - Santa Ana, Villanova, and La Vista faults.  Rockwell (1984) notes that some of t",1.5,0.7,2.3,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),stream terraces,"C14, soils",unlisted,11-130,0.2,1,Rockwell and others (1984),yes
Mono Lake,172,CA,Lee Vining,S-0133,SR-0178,-119.113164816000,37.949039789300,105.14,N/A,slip rate study,"Vertical slip rate of Bryant (1984b) from scarp on Tioga outwash surface.  Note large slip gradient between this location and Lundy Creek, ~15 km north.",N/A,0.3,0.5,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),offset outwash surface,correlation,unlisted,11-130,0.2,1,Bryant (1984b),yes
Mono Lake,172,CA,Lundy Canyon,S-0134,SR-0179,-119.178409214000,38.031933613900,115.84,N/A,slip rate study,"Vertical separation rate modified from UCERF2, which used Clark and others (1984).  Bryant (1984b) profiled the same Tioga-age scarp and reports 18.3 m vertical, less than the 23 m reported by Clark and others (1984).",N/A,0.92,1.4,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),offset moraine,correlation,unlisted,11-130,0.2,1,Bryant (1984b),yes
Newport - Inglewood,183,CA,Huntington Beach,S-0135,SR-0186,-118.027445162000,33.693031258700,0.43,PNRA-NIRC-LABS-Newport_Inglewood_fault-CFM5,slip rate study,"Grant and others (1997) report an apparent vertical rate from a site located within a graben.  They also report a horizontal slip rate of 1.0 - 3.5 mm/yr based on an assumed ratio of horizontal to vertical motion.  However, this ratio appears highly spec",N/A,0.16,0.35,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),stratigraphic marker,C14,unlisted,11-130,1,5,Grant and others (1997),yes
Newport - Inglewood,183,CA,Inglewood Oil Field (location approximate),S-0136,SR-0187,-118.365123589000,34.006861472000,0.19,PNRA-NIRC-LABS-Newport_Inglewood_fault-CFM5,slip rate study,"UCERF2 assigned slip rate based on WGCEP 95, which was an assumed rate from the Rose Canyon and slip budget from the Agua Blanca fault (split between the Rose Canyon and Coronado Bank fault zone).  Freeman and others (1992) report a long term (since late",0.48,0.2,0.7,unknown,horizontal,reported (only preferred value listed in Appendix B no uncertainty included),anticlinal axis,well logs,unlisted,750-2600,1,5,Freeman and others (1992),yes
North Frontal (west),186,CA,Ord Mountains,S-0137,SR-0189,-117.196259616000,34.409551222300,0.18,ETRA-NFTS-WEST-North_Frontal_Thrust_fault-CFM5,slip rate study,Poor dating constraints.  Offset alluvial fan.,N/A,0.07,0.14,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),offset alluvial fan,correlation,unlisted,750-2600,0.2,1,Clark and others (1984),yes
North Frontal (west),186,CA,Grapevine Canyon,S-0138,SR-0190,-117.046372742000,34.415729171200,0.64,ETRA-NFTS-WEST-North_Frontal_Thrust_fault-CFM5,slip rate study,Poor dating constraints.  Meisling (1984) reports right lateral slip rate.  Unknown vertical rate.  Revised rate of 0 - 0.3 is based on Weldon review of DWR data.,0.2,0.15,0.35,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B) (potential typo in maximum slip rate in Appendix B?),unlisted,unlisted,unlisted,11-130?,0,0.2,Meisling (1984),yes
North Tahoe,188,CA,per Dingler and others (2009),S-0139,SR-0194,-120.046675955000,39.154815502600,260.77,N/A,slip rate study,Vertical separation rate reported.,N/A,0.35,0.6,unknown,unprojected (vertical),reported (only range listed in Appendix B; no preferred value included),submerged wave cut terrace,correlation,unlisted,11-130,0.2,1,Dingler and others (2009),yes
Northridge,189,CA,approx centroid,S-0140,SR-1261,-118.549491302880,34.356709093291,0.07,WTRA-ORFZ-SFNV-Northridge_Frew_fault-CFM2,slip rate study,"Long term slip rate based on Davis and Namson (1994), rate interpreted from balanced cross-sections displacements across their ""Pico thrust"".",1.5,1,2,unknown,projected (dip-slip),reported (author reported rate as recorded in Appendix B),statigraphic markers,regional age corellation,unlisted,1-11,1,5,Davis and Namson (1994),yes
Northridge Hills,190,CA,"Aliso Canyon Wash, just south of Lemarsh Street",S-0141,SR-0173,-118.531261000000,34.253449000000,0.08,WTRA-SFNS-SFNV-Northridge_Hills_fault-CFM3,slip rate study,Baldwin and others (2000) assume a 45 degree dip for the reported slip rate.,1.3,0.3,2.3,unknown,projected (dip-slip),reported (author reported rate as recorded in Appendix B),Qt4 surface,soil development,unlisted,1-11,0.2,1,Baldwin and others (2000),yes
Oak Ridge (onshore),193,CA,per Huftile and Yeats (1996),S-0142,SR-0199,-118.853805190000,34.382740211900,0.38,WTRA-ORFZ-MULT-Oak_Ridge_fault-CFM5,slip rate study,"Reported dip slip rate assumes 64 - 77 degrees south.  Authors note this rate should supersede rate of Yeats (1988), which used a much younger age for the top of Saugus horizon to calculate the slip rate.  They report a horizontal shortening  of 1.2 - 1.",3.8,3.4,4.2,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),stratigraphic horizon,correlation,unlisted,130-750,1,5,Huftile and Yeats (1996),yes
Oak Ridge (onshore),193,CA,per Huftile and Yeats (1996),S-0143,SR-0200,-118.853805190000,34.382740211900,0.38,WTRA-ORFZ-MULT-Oak_Ridge_fault-CFM5,slip rate study,Longer term rate based on reconstruction of the base of Fernando Formation in cross section.,4.1,3.7,4.5,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),stratigraphic horizon,correlation,unlisted,750-2600,1,5,Huftile and Yeats (1996),yes
Oak Ridge (onshore),193,CA,Near Santa Paula,S-0144,SR-0203,-118.987899134000,34.359232698300,0.57,WTRA-ORFZ-MULT-Oak_Ridge_fault-CFM5,slip rate study,"Offset is reported from Yeats (1988), dating constraints (age of the top of Saugus) refined and reported by Levi and Yeats (1993).  Unaddressed source of uncertainty is the feature offset, because the Saugus is eroded off of the hanging wall, and the cro",N/A,4.8,4.9,unknown,projected (dip-slip),reported (only range listed in Appendix B; no preferred value included),stratigraphic horizon,paleomagnetic,unlisted,130-750,1,5,Yeats (1988); Levi and Yeats (1993),yes
Ortigalita (north),197,CA,Cottonwood Arm,S-0145,SR-0205,-121.136656479000,37.105852757100,100.12,N/A,slip rate study,"Anderson and Piety (2001) report two offset features at the Cottonwood Arm site.  A buried channel thalweg is offset 15.6 +/- 2m and is estimated to be between 10 - 25 ka in age, but likely closer to 10 ka.  A facies change in a slightly older mudflow is",N/A,0.5,2.5,unknown,horizontal,reported (only range listed in Appendix B; range of preferred values included),"channel thalweg, facies change in mudflow",soil development,unlisted,11-130,1,5,Anderson and Piety (2001),yes
Owens Valley,199,CA,Fish Springs Cinder Cone,S-0146,SR-0206,-118.262506570000,37.081939271200,0.27,SNFA-OVFZ-MULT-Owens_Valley_fault-CFM6,slip rate study,"Associated with Owens Valley fault, vertical only.  Similar rate to Martel and others (1987), except newer cosmogenic dating provide better constraints.  Other work on fans at this site show similar vertical slip rates for Late Pleistocene (<136 k.y.) Se",0.24,0.2,0.28,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,Ar - Ar,unlisted,130-750,1,5,Zehfuss and others (2001),yes
Owens Valley,199,CA,Crater Mountain,S-0147,SR-0207,-118.290221713000,37.145398610600,0.17,SNFA-OVFZ-MULT-Owens_Valley_fault-CFM6,slip rate study,36Cl dating of Crater Mountain Basalt provide dating constraints.  Air photos and GPR provide a well-constrained feature offset (edge of basalt flow).  This rate probably reflect a reasonable long term average.  Authors note rate is 2 - 3 times greater t,N/A,2.8,4.5,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),basalt flow edge,36Cl,unlisted,11-130,1,5,Kirby and others (2008),yes
Owl Lake,201,CA,70-1,S-0148,SR-0208,-116.869178564000,35.610547014000,0.14,GRFS-GRFZ-EAST-Owl_Lake_fault-CFM5,slip rate study,Poorly-constrained offset terrace riser.  Dating is based on 14C of rock varnish.  Vertical slip rate is reported as 0.06 - 9 mm/yr.  Part of Garlock fault zone.,0.5,0.5,7.8,unknown,horizontal,"reported (authors report min and max here; given the very high maximum rate, the preferred value is selecte at the minimum value of the reported range).",offset fan,14C from rock varnish,unlisted,11-130,1,5,McGill (1998),yes
Palos Verdes,203,CA,per Stephenson,S-0149,SR-0033,-118.301912489000,33.772544943600,0.85,OCBA-PVFZ-MULT-Palos_Verdes_fault-CFM6,slip rate study,"Offset of paleo Los Angeles River channel.  This may be a minimum rate, because the incision of the channel post-dates the age of the terrace.",3,2.5,3.8,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),paleo LA River channel,Correlation to dated marine terraces,unlisted,11-130,1,5,Stephenson and others (1995),yes
Palos Verdes,203,CA,Los Angeles Harbor,S-0150,SR-0210,-118.247758266000,33.730771244400,0.49,OCBA-PVFZ-MULT-Palos_Verdes_fault-CFM6,slip rate study,Rate consistent with longer term rate of 2.5 - 3.8 mm/yr for 300 m deflected channel over past 80 - 120 ka as reported by Stephenson and others (1995).  Longer term (post Pico 1.5 Ma) strike slip rate of 3.3 +/- 0.3 mm/yr (4.0 +/- 0.3 oblique-reverse) repo,N/A,2.7,3,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),paleochannels (6 piercing lines),unlisted,unlisted,1-11,1,5,McNeilan and others (1996),yes
Palos Verdes,203,CA,per Brankman and Shaw (2009),S-0151,SR-0211,-118.123910021000,33.551922514200,1.03,OCBA-PVFZ-MULT-Palos_Verdes_fault-CFM6,slip rate study,"Feature is an offset depositional basin offset by the Palos Verdes fault, imaged in seismic lines.  Offset is measured using contours from an isopach map.  Long term offset is consistent with other reported rates. Brankman and Shaw (2009) summarize other",4,3.7,4.3,unknown,net (reverse + RL),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),"offset depositional basin, isopach contours","Onset of deformation, top of Pico Fm",unlisted,unlisted,1,5,Brankman and Shaw (2009),yes
Palos Verdes,203,CA,San Gabriel Canyon,S-0152,SR-1250,-118.043378028845,33.423334340818,0.2,OCBA-PVFZ-MULT-Palos_Verdes_fault-CFM6,slip rate study,three offsets of slump headwall dated with radiocarbon,1.75,1.3,2.8,unknown,projected (lateral),reported,headwall scarp,radiocarbon,unknown,31,1,5,"Brothers et al., (2015) JGR",no
Panamint Valley,204,CA,Manly Peak Canyon,S-0153,SR-0212,-117.179635929000,35.907299153500,0.78,SNFA-PMVZ-MULT-Panamint_Valley_fault-CFM2,slip rate study,"Slip rate reported is rate in a direction oriented towards 325 deg.  Maximum surface age is reported as 12.5 +/- 1.4 ka. Minimum rate reported by Zhang and others (1990).  Note that they did not prefer the rate at this site, and think the rate at Goler Wash",2.1,1.6,2.5,unknown,net,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset debris flows,10Be and soil chronology,unlisted,11-130,1,5,Hoffman (2009),yes
Panamint Valley,204,CA,Goler Wash,S-0154,SR-0213,-117.165280544000,35.854619739800,0.42,SNFA-PMVZ-MULT-Panamint_Valley_fault-CFM2,slip rate study,Minimum rate reported by Zhang and others (1990).  Note that they think this site (Goler Wash) is better constrained. Hoffman (2009) supersedes older rate of Zhang and others (1990).,2.36,1.57,3.15,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B; report rated as a maximum rate),offset fan edge,Correlation to Lake Panamint highstand,unlisted,11-130,1,5,Zhang and others (1990),yes
Panamint Valley,204,CA,Happy Canyon,S-0155,SR-0214,-117.207545682000,36.055475973000,0.68,SNFA-PMVZ-MULT-Panamint_Valley_fault-CFM2,slip rate study,Minimum soil age is reported as 20.7+/- 5.2 ka.  Right lateral rate is based on total extension of 56+/- 10.3 m.  Site has both lateral and vertical rates reported.,2.7,1.2,4.2,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset of Q3o fan surface,10Be and soil chronology,unlisted,11-130,1,5,Hoffman (2009),yes
Panamint Valley,204,CA,Happy Canyon,S-0156,SR-0215,-117.207545682000,36.055475973000,0.68,SNFA-PMVZ-MULT-Panamint_Valley_fault-CFM2,slip rate study,Right lateral slip rate is based on total extension of 56+/-10.3 m.  Site has both lateral and vertical rates reported.,3.3,2.6,4,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset of Q3o fan surface,10Be and soil chronology,unlisted,11-130,1,5,Hoffman (2009),yes
Pinto Mountain,209,CA,per Petersen and Wesnousky,S-0157,SR-0113,-116.300485259000,34.142837387800,0.08,ETRA-PMFZ-MULT-Pinto_Mountain_fault-CFM5,slip rate study,"Anderson (1979) reported a long term, Miocene, slip rate of 1 - 2 mm/yr.  Petersen and Wesnousky (1994) report 0.3 - 5.3, based on a 9.6 km fanglomerate offset, reported by Dibblee (1968), assuming this offset is Pleistocene and younger.  A review of geo",N/A,0.3,5.3,unknown,horizontal,"reported (only range reported/no uncertainty. Though, this rate seems poorly constrained)",Miocene bedrock and Pleistocene fanglomerate,relative,unlisted,>2600,1,5,Anderson (1979); Petersen and Wesnousky (1994),yes
Pisgah - Bullion Mountain - Mesquite Lake,210,CA,per Oskin and others (2008),S-0158,SR-0219,-116.394361086000,34.672004233500,0.06,MJVA-PBMZ-MULT-Pisgah_Bullion_West_Bullion_fault-CFM5,slip rate study,Oskin and others (2008) used Ar-Ar dating techniques on an offset pyroclastic deposit identified by Hart and others (1988),1,0.8,1.2,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),Offset basalt flow,Ar-Ar,unlisted,750-2600,0.2,1,Oskin and others (2008),yes
Pitas Point,333,CA,Pitas Point,S-0159,SR-0306,-119.307580071000,34.283451313800,0.22,WTRA-NCVS-VNTB-Ventura_fault-CFM6,slip rate study,320 m of uplifted marine terraces since 45-50 ka (Lajoie et al 1979); 4 events since c. 6.7 ka,6.7,6,7,unknown,unprojected (vertical),reported range; pref = 340m/47.5 ka (average age),marine teraces,relative,multiple,45-50,0.2,1,"Rockwell et al., (2017) BSSA",no
Pleito,215,CA,Tecuya fan,S-0160,SR-0221,-118.956693538000,34.932942544200,0.24,GVFA-PLFZ-MULT-Pleito_fault-CFM2,slip rate study,Hall (1984) calculates the slip rate using both total vertical separation and intervals between depositional units.  Reported slip rates reflect these ranges.  Hall (1984) notes that the rates may be a minimum if slip is shared with the Wheeler Ridge fau,0.6,0.3,2,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),buried paleosol,correlation,unlisted,11-130,1,5,Hall (1984),yes
Pleito,215,CA,Kink Canyon,S-0161,SR-0222,-118.949587548000,34.931693605700,0.11,GVFA-PLFZ-MULT-Pleito_fault-CFM2,slip rate study,"Based on the small cumulative offset, this rate may only represent 2 events.  Hall (1984) notes that the rates may be a minimum if slip is shared with the Wheeler Ridge fault.",N/A,1.3,1.4,unknown,unprojected (vertical),reported (only range reported/no uncertainty),fan surface,C14,~2?,1-11,1,5,Hall (1984),yes
Polaris,218,CA,Truckee River,S-0162,SR-0224,-120.138521509000,39.338379840200,282,N/A,slip rate study,"Rate for main strand.  Other possible strands in region.  Unknown how many events produced this offset, perhaps only one or two?",0.4,0.1,0.9,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),terrace riser,correlation,1 - 2?,11-130,0.2,1,Hunter and others (2011),yes
Puente Hills (Coyote Hills),219,CA,per Christofferson and others (2001),S-0163,SR-0063,-118.017806113000,33.886559543700,0.36,WTRA-PHTS-COYT-Puente_Hills_Thrust_fault-CFM2,slip rate study,"Offset and dating are poorly-constrained.  The reported slip rate assumes a 19 - 22 degree dip and simple hanging wall block translation.  Shaw and others (2002) don't report offsets, but these are estimated from their estimates of structural relief show",N/A,0.2,1,unknown,projected (dip-slip),reported (only range reported/no uncertainty),offset surface,soil,unlisted,11-130,0.2,1,Christofferson and others (2001),yes
Puente Hills (Coyote Hills),219,CA,per Shaw and others (2002),S-0164,SR-0065,-117.939859253000,33.872557473100,1.28,WTRA-PHTS-COYT-Puente_Hills_Thrust_fault-CFM2,slip rate study,"Slip rates derived from structural relief and kink-band width estimates. Shaw and others (2002) don't report offsets, but these are estimated from their estimates of structural relief shown on their Figure 11.",1.28,0.2,1.7,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),fold estimate,correlation,unlisted,750-2600,0.2,1,Shaw and others (2002),no
Puente Hills (Los Angeles),220,CA,W 48th St,S-0165,SR-0225,-118.288832703000,34.007015240000,0.09,WTRA-PHTS-LABS-Puente_Hills_Thrust_fault-CFM1,slip rate study,"seismic reflection studies, retrodeformed cross sections andborehole samples requires a total of backslip of 17.75-22.72 m 22.72  since 17.6 -11.7 ka",N/A,1.13,1.73,95% CI (author reported),projected (dip-slip),reported,backslip,radiocarbon + IRSL,multiple,17.6-11.7,0.2,1,"Bergen et al., (2017) Geology",no
Puente Hills (Los Angeles),220,CA,Stanford Ave,S-0166,SR-0226,-118.247768072000,33.984175391600,0.22,WTRA-PHTS-LABS-Puente_Hills_Thrust_fault-CFM1,slip rate study,"Based on cumulative uplift, thickening of section from borehole data across backlimb of Compton thrust.  Assumed fault dip is 28+/- 3 degrees.  Rate is reported as a minimum, although the authors note that given various factors, they think the rate is",1.2,0.9,1.7,unknown,projected (dip-slip),reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),"Unit 60, growth section",C14,6,1-15,0.2,1,Leon and others (2009),yes
Puente Hills (Los Angeles),220,CA,per Shaw and others (2002),S-0167,SR-0227,-118.240179945000,33.979952092400,0.24,WTRA-PHTS-LABS-Puente_Hills_Thrust_fault-CFM1,slip rate study,"Slip rates derived from structural relief and kink-band width estimates. Shaw and others (2002) don't report offsets, but these are estimated from their estimates of structural relief shown on their Figure 11.",0.85,0.3,1.13,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),fold estimate,correlation,unlisted,750-2600,0.2,1,Shaw and others (2002),no
Puente Hills (Santa Fe Springs),221,CA,per Shaw and others (2002),S-0168,SR-0064,-118.081158057000,33.915375187000,0.23,WTRA-PHTS-STFS-Puente_Hills_Thrust_fault-CFM2,slip rate study,"Slip rates derived from structural relief and kink-band width estimates. Shaw and others (2002) don't report offsets, but these are estimated from their estimates of structural relief shown on their Figure 11.",0.62,0.2,1,unknown,projected (dip-slip),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),fold estimate,correlation,unlisted,750-2600,0.2,1,Shaw and others (2002),no
Puente Hills (Santa Fe Springs),221,CA,per Dolan and others (2003),S-0169,SR-0228,-118.110282316000,33.911161704500,0.35,WTRA-PHTS-STFS-Puente_Hills_Thrust_fault-CFM2,slip rate study,"Growth strata logged in boreholes provide uplift per event and a Holocene slip rate.  The model assumes rigid block motion, so the slip rate is regarded by the authors as a minimum.",1.6,1.1,5,unknown,projected (dip-slip),"reported (authors list a range of minimum rates, so minimum of this range is listed as LowRate, and upper bound of this is listed as PrefRate)",growth strata,C14,unlisted,1-11,1,5,Dolan and others (2003),yes
Raymond,224,CA,Eaton Wash,S-0170,SR-0231,-118.081467664000,34.129460746300,0.15,WTRA-SFFS-SGVS-Raymond_fault-CFM5,slip rate study,"Minimum rate, radiocarbon sample comes from deposit channel is incised into. Best estimate of 2 mm/yr comes from unpublished data of Dolan (written communication, 2011).",2,1.5,5,unknown,horizontal,"reported (authors report/listed in Appendix B preferred value and lower bound, but no upper bound on slip rate)",buried channel,C14,unlisted,11-130,1,5,Marin and others (2000),yes
Red Bluff,334,CA,Big Bend,S-0171,SR-0780,-122.234025940000,40.182397342400,450.09,N/A,slip rate study,T3 elevation difference across fault within Sacaremento River cut yeilds 14 +/- 0.5 m of uplift since 27.7 +/- 9.3 ka,0.6,0.4,0.8,unknown,unprojected (vertical),reported,T3 elevation change,luminesence,unknown,27.7 +/- 9.3,0.2,1,Angster et al (2020) Geology,no
Red Mountain,225,CA,per Huftile and others (1997),S-0172,SR-0232,-119.422263455000,34.355250589700,0.18,WTRA-NCVS-RDMT-Red_Mountain_fault_S_strand-CFM5,slip rate study,"Huftile and others (1997) report a minimum dip slip rate of 1.5 mm/yr based on a 34 m vertical separation from borehole and trench data, using a 30 degree dip of the fault and a 45 ka terrace age.  However, a faster rate is calculated based on the observ",1.5,1.5,5.9,unknown,projected (dip-slip),"reported (authors report/listed in Appendix B preferred value as minimum value and also provide upper bound, so LowRate = PrefRate)",marine terrace,amino acid,unlisted,11-130,1,5,Huftile and others (1997),yes
